id,value
id_0,6.573459214260669
id_1,18.2027817780077
id_2,23.923027229361978
id_3,7.708052957972564
id_4,27.015296255953864
id_5,22.25903117098187
id_6,23.881121990567287
id_7,30.468698581450745
id_8,16.773682000911858
id_9,59.66359700498847
id_10,11.722410918738474
id_11,9.301711504988415
id_12,63.23811355102815
id_13,53.24261670274283
id_14,22.19597713110473
id_15,12.196657962934719
id_16,32.402327524229214
id_17,66.768731272935
id_18,-0.5302077405007056
id_19,17.130126089541378
id_20,41.78016941471528
id_21,72.10000528420063
id_22,9.307940659399375
id_23,17.835769177884327
id_24,14.755013918355523
id_25,37.77176649476347
id_26,14.53648679708461
id_27,69.82965466281173
id_28,7.225170049221992
id_29,55.40862574648264
id_30,24.50100414030349
id_31,8.493829140424562
id_32,2.5068420650718153
id_33,18.679497016213563
id_34,27.774617128720514
id_35,37.20724416313219
id_36,43.23882596680958
id_37,29.831437276160386
id_38,42.22221904456454
id_39,35.133481805893716
id_40,7.574138086934975
id_41,41.213216239187105
id_42,30.581350131691234
id_43,50.958145538500524
id_44,17.517348240388195
id_45,35.36724945690535
id_46,24.629960461421668
id_47,9.638535499188281
id_48,26.795616311892854
id_49,32.265049865966674
id_50,20.137219869653343
id_51,7.978263366167937
id_52,20.590107649333888
id_53,52.68887561193992
id_54,15.975635556159437
id_55,36.4857525971642
id_56,32.84446903364633
id_57,20.800602283496666
id_58,57.412343372671494
id_59,22.771398566483906
id_60,14.321792598394598
id_61,41.7442797671426
id_62,12.582223238038853
id_63,48.40695634813783
id_64,14.177724567887644
id_65,15.159765363897797
id_66,14.419214976109723
id_67,-0.9954893184604032
id_68,43.81658480946765
id_69,29.12782222514686
id_70,20.213222975806566
id_71,41.765849090834784
id_72,60.88198405804116
id_73,5.516409525755952
id_74,16.529366429869967
id_75,3.4392627922330874
id_76,40.36832433627459
id_77,13.962714180717397
id_78,21.571871452284554
id_79,21.034944296187785
id_80,23.92745472444017
id_81,36.11840235425217
id_82,21.853340063425076
id_83,92.55800655401883
id_84,37.28595377506069
id_85,27.826091982263115
id_86,22.034593346006982
id_87,33.651349324829205
id_88,23.28407298265812
id_89,19.808897392650497
id_90,29.003283872196707
id_91,41.58952542544868
id_92,4.701856939664349
id_93,38.81317667846583
id_94,45.87415303110935
id_95,16.480470428600764
id_96,31.634721822057553
id_97,12.968499153921687
id_98,23.456721838045006
id_99,4.524613178586777
id_100,18.100770015806184
id_101,26.38420349250228
id_102,14.044628662202028
id_103,15.842457958915876
id_104,23.911146885532837
id_105,39.734139055616716
id_106,31.568867592571582
id_107,6.385124015014585
id_108,6.089198146030809
id_109,78.57122906696388
id_110,47.94647099326425
id_111,16.983361670365415
id_112,27.80345677154114
id_113,15.308248888638714
id_114,13.743296650912326
id_115,24.897342493648793
id_116,26.535953392286586
id_117,10.528862004767735
id_118,18.107743550989372
id_119,19.445306684566578
id_120,80.55320427310608
id_121,25.515364976800726
id_122,37.30034097823113
id_123,25.15029471786537
id_124,7.426015288898222
id_125,38.57926050752626
id_126,9.25854374642682
id_127,21.938873655304892
id_128,29.060748017510814
id_129,62.8224609820929
id_130,21.829365613584542
id_131,23.210079491532888
id_132,59.08832277472587
id_133,15.283322033580145
id_134,14.188785127676386
id_135,2.7296922459622293
id_136,12.473084043677837
id_137,58.67480583461168
id_138,20.282570736444832
id_139,5.341904227172843
id_140,29.008603020547806
id_141,25.351778962152217
id_142,45.26804244976986
id_143,30.743311990248056
id_144,18.352283434538005
id_145,26.026720931020233
id_146,11.992126159378161
id_147,51.84373220850944
id_148,23.578350743541677
id_149,38.393512361410316
id_150,10.188261239174587
id_151,8.101055583273242
id_152,23.529107555841343
id_153,6.420401831955438
id_154,15.037897085974132
id_155,41.097525063073896
id_156,7.777334982043654
id_157,36.2635159137337
id_158,11.025914383461096
id_159,18.732511717298607
id_160,41.506141057807504
id_161,19.34289435898726
id_162,13.267318278293683
